Company,Notes,Position,Date,Status,Job Code,Posting,Contact,
Idaho National Lab,,Cybersecurity Researcher,12/2/2024,Denied,21732,https://inl.taleo.net/careersection/application.jss?lang=en&type=1&action=view&csNo=10060&portal=8110010144&reqNo=31084&isOnLogoutPage=true,,
Idaho National Lab,,Embedded Software Engineer,12/3/2024,Denied,22068,https://inl.taleo.net/careersection/application.jss?lang=en&type=1&action=view&csNo=10060&portal=8110010144&reqNo=34644&isOnLogoutPage=true,,
Oak Ridge National Lab,,Cyber Security Software Engineer,1/13/2025,Applied,14334,https://jobs.ornl.gov/job/Oak-Ridge-Cyber-Security-Software-Engineer-TN-37830/1248056200/,,
Oak Ridge National Lab,,Computational Scientist- R&D Staff ,1/13/2025,Denied,14367,https://jobs.ornl.gov/job/Oak-Ridge-Computational-Scientist-R&D-Staff-TN-37830/1249956000/?from=email&refid=24736345700&source=2&eid=108500-202529131029-31080803900&locale=en_US&source=outlookmonarch&form=MK12MH&qpc=2702768957110&cid=9d273874e85d65e5&hubappid=8682d0fa-50b3-4ece-aa5b-e0b33f9919e2&hubappsubpath=/mail/AQMkADAwATMwMAItYjZiMS05ZGI1LTAwAi0wMAoALgAAA/O08e7/B2NLl0bbhq6/JgYBAJFIc7uMiO1LgFKj8EI7dqoAAAIBDAAAAA==/id/AQQkADAwATMwMAItYjZiMS05ZGI1LTAwAi0wMAoAEAAoCXcTW49LTKSffTyHxERS/itemId/AQMkADAwATMwMAItYjZiMS05ZGI1LTAwAi0wMAoARgAAA/O08e7/B2NLl0bbhq6/JgYHAJFIc7uMiO1LgFKj8EI7dqoAAAIBDAAAAJFIc7uMiO1LgFKj8EI7dqoAB8in56wAAAA=/immutableItemId/AQMkADAwATMwMAItYjZiMS05ZGI1LTAwAi0wMAoARgAAA/O08e7/B2NLl0bbhq6/JgYHAJFIc7uMiO1LgFKj8EI7dqoAAAIBDAAAAJFIc7uMiO1LgFKj8EI7dqoAB8in56wAAAA=,,
Oak Ridge National Lab,,Senior Artificial Intelligence Software Engineer ,1/13/2025,Denied,14230 ,https://jobs.ornl.gov/job/Oak-Ridge-Senior-Artificial-Intelligence-Software-Engineer-%28Hybrid%29-TN-37830/1241808500/,,
Bell Helicopter,,Avionics Systems Engineer,1/13/2025,Applied,328049,,,
Bell Helicopter,,Avionics and Mission Systems Engineers,1/13/2025,Applied,328910,,,
Bell Helicopter,,Avionics Systems Engineer,1/13/2025,Applied,328049,,,
Bell Helicopter,,"Product Cybersecurity Sr. Engineers, System/Software Design and Integration",1/13/2025,Applied,328109,,,
Bell Helicopter,,Aircraft Systems Integration Engineer,1/13/2025,Denied,327603,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=327603&tz=GMT-06%3A00&tzname=America%2FChicago,,
Bell Helicopter,Embedded systems,"Embedded Software Engineer, Security Clearance",1/13/2025,Denied,327661,,,
Bell Helicopter,Embedded systems,Flight Control Systems Engineer,1/13/2025,Denied,319833,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=319833&tz=GMT-06%3A00&tzname=America%2FChicago,,
Riccione Resources,Linkedin Apply,Firmware Engineer,1/13/2025,Denied,,https://www.linkedin.com/jobs/view/4080102988/?alternateChannel=search&refId=dAPUBwwrEoo06ey3idkVrw%3D%3D&trackingId=EQYCeyoKpOQ2lF8OlOzBhg%3D%3D,,
Firefly Aerospace,"Thank you for applying to the Full Stack Software Developer position at Firefly Aerospace. We appreciate the time invested in submitting your application.   After careful consideration, we will not be moving forward with interviews as we do not feel there is a close enough match to the requirements for this role.  ",Full Stack Software Developer,1/13/2025,Denied,,https://www.linkedin.com/jobs/view/4123392520/?alternateChannel=search&refId=2Zj%2B29h5dilC9G0J%2BBFEgQ%3D%3D&trackingId=aLhpYRUo%2Fq5Nw51SYRrQaA%3D%3D,,
Firefly Aerospace,,Flight Dynamics Engineer,1/13/2025,Applied,,https://fireflyspace.com/careers/?keywords=software+engineer&jobId=907a2021-4429-c703-83a5-e48698a34d60,,
Firefly Aerospace,C++ ,Flight Software Engineer II,1/13/2025,Applied,,https://fireflyspace.com/careers/?keywords=software+engineer&jobId=b913f249-465b-b96f-647a-82a090428313,,
Palo Alto Networks,“your background is impressive”,Inside Systems Engineer,1/13/2025,Denied,,https://www.linkedin.com/jobs/view/4104815017/?eBP=CwEAAAGUYmj-X6sW5EQrEV6rm4-WRShBQ3oD2ilRonWYCiT4I3X9cEKW9zJfjzieX7l6nyxZh_v_4JgvWoQWppQ_imt1QTQj2n3QkhI6VmfHcZhF5mE59oyYuseuM2S0nTz-GVnxuBAMP9rUUZRHj6xwWoyzE8PmwK1sCe0nRt0F01Hx2-t8aEKWwPZFfzHsgYbmebBJiNqfQS3G-8wRBBGBP4hMuhNvoB7zIn_BhCD71cSX_CJ9YAYHk_FkGoSnZ3929818PEH-gnXdJSGrAzR-AKzwf_IYw3xQzjEIlIkNNOVYQz6LFAunCZTDQPQvXdiWuxYd_VQ6PbUHUVuHODIgI7v2EC5X0-KCZ0WUXMNBTO1LAgz6Aks4tDrz3JnEU40d6sDhmblklE9jOyEYP8WQ1KUB81lQmQFfazi28Nb3mHzNVUJJgLLcjx9eLbJE8Y9NvhaiCDLcCky2iUZnn6pSJaws_jtptM1BjypHbyt6Tp94SriZr4Fab0qrGR5gw4lbS1djiKQM&refId=sf4LXCS4j1lhAl7CraYdwQ%3D%3D&trackingId=tgpaTx1dlVw%2BuAu9%2FVqjVg%3D%3D,,
Belcan,,Embedded Software Engineer,1/13/2025,Applied,,https://www.ziprecruiter.com/jobs-search?search=embedded+software+engineer&location=Fort+Worth%2C+TX&lvk=u7wyYDEF-OTbKd7pPrANzQ.--NdYX02kaF,,
Textron / Bell,,"Embedded Software Engineer, Security Clearance",1/13/2025,Applied,327661,https://textron.taleo.net/careersection/application.jss?lang=en&type=1&csNo=10060&portal=8140753014&reqNo=1422406&isOnLogoutPage=true#,,
Geologics,Clearance req.,Embedded Software Engineer,1/13/2025,Denied,idk,,,
Geologics,Clearance req.,Embedded Software Engineer,1/13/2025,Denied,15285,https://search10.smartsearchonline.com/geologics/jobs/jobdetails.asp?jo_num=15285&apply=yes&jobTitle=Embedded%20Software%20Engineer&,Mbaldwin@geologics.com,(703) 891-6115
Canonical,,"System Software Engineer - Rust compiler, tooling, and ecosystem",1/13/2025,Written Interview,,https://www.ziprecruiter.com/jobs/canonical-jobs-6af281f7/system-software-engineer-rust-compiler-tooling-and-ecosystem-9d606d67?enc_campaign_id=434e092a&tsid=123275651,,
Canonical,,Linux Software Engineer - Embedded Systems,1/14/2025,Denied,,https://boards.greenhouse.io/canonicaljobs/jobs/6532085,,
PSCI,,Embedded Software Engineer Level 2,1/14/2025,Applied,16588-1,https://www.ziprecruiter.com/jobs/psci-56dba070/embedded-software-engineer-level-2-16588-1-9a44ef32?expires=1737194607&zrclid=0fab61ee-9394-47b6-b5f5-31d0535f6cd5&lvk=I1TrMEiqLRDJjJNTOM7GbA.--NdYX7gVqs&tsid=111000153&contact_id=e0bcdefc,,
Toyota Connected Labs,,Embedded Linux Engineer,1/14/2025,Denied,,https://www.toyotaconnected.com/job?gh_jid=7740130002&did=4040990002,,
Zenimax / Microsoft / Id,Nice easy application,General Application,1/14/2025,Applied,2019-1512,https://careers-zenimax.icims.com/r.jsp?p=1512,,
